"","Kappa / W K-1 m-1"
"T / K","xx","yy","zz","yz","xz","xy"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10.0","47.328417939226718","47.328417939226718","47.328417939226718","-3.9436266876411759e-17","5.6408223137843716e-17","1.3113966242940241e-16"
"20.0","12.756172560935008","12.756172560935008","12.756172560935008","-3.3272335393131785e-17","-2.3493019774809328e-17","3.1841195082739045e-17"
"30.0","8.9406238123391581","8.9406238123391581","8.9406238123391581","-2.9722532125575651e-17","-2.6107367028610515e-17","1.9857426867351246e-17"
"40.0","7.1723916633520304","7.1723916633520304","7.1723916633520304","-2.5226114679747253e-17","-2.3238748092789179e-17","1.4683527747449792e-17"
"50.0","6.0021835387489331","6.0021835387489313","6.0021835387489331","-2.1496371098906665e-17","-2.0178055143714416e-17","1.1677152800024999e-17"
"60.0","5.149182119043604","5.1491821190436049","5.149182119043604","-1.8578161196941292e-17","-1.760559437160574e-17","9.6982350380367016e-18"
"70.0","4.4994391825143785","4.4994391825143767","4.4994391825143785","-1.6291940555483615e-17","-1.5524967274541085e-17","8.2948781527746814e-18"
"80.0","3.9895864444355054","3.9895864444355063","3.9895864444355054","-1.4474029503971726e-17","-1.3841494093749683e-17","7.2473541493872874e-18"
"90.0","3.5800033243398719","3.5800033243398719","3.5800033243398715","-1.3003274410778513e-17","-1.2464867428554179e-17","6.4353465120632213e-18"
"100.0","3.244486602772847","3.2444866027728492","3.2444866027728474","-1.1793475094033051e-17","-1.1324434309732603e-17","5.7873437537207586e-18"
"110.0","2.9650542804983369","2.9650542804983364","2.9650542804983369","-1.0783265820621184e-17","-1.0367400162981109e-17","5.258150001943288e-18"
"120.0","2.7290011782778607","2.7290011782778612","2.7290011782778607","-9.9283911670694831e-18","-9.5545772005602481e-18","4.8177927323785044e-18"
"130.0","2.5271253716348214","2.5271253716348214","2.5271253716348214","-9.1963986017001234e-18","-8.8566823622930539e-18","4.4456075576914324e-18"
"140.0","2.3526163789696888","2.3526163789696883","2.3526163789696888","-8.5630769117486629e-18","-8.2515803880386522e-18","4.1268832416607573e-18"
"150.0","2.2003361754436024","2.2003361754436024","2.2003361754436024","-8.0100613712462489e-18","-7.7223196875942262e-18","3.8508607529860091e-18"
"160.0","2.066341768618976","2.066341768618976","2.066341768618976","-7.5232047351158993e-18","-7.2557468301164922e-18","3.6094888354630493e-18"
"170.0","1.9475606689859728","1.9475606689859724","1.947560668985973","-7.0914523257708358e-18","-6.8415258090347513e-18","3.3966221026356287e-18"
"180.0","1.8415655996689768","1.8415655996689761","1.8415655996689768","-6.7060526284864635e-18","-6.4714374657458317e-18","3.2074882913827876e-18"
"190.0","1.7464150882237974","1.7464150882237972","1.7464150882237974","-6.3599944224910623e-18","-6.1388732654670479e-18","3.0383248290655881e-18"
"200.0","1.6605387004405237","1.6605387004405232","1.6605387004405237","-6.0475992477192768e-18","-5.8384649912099413e-18","2.8861250755205246e-18"
"210.0","1.5826530949749893","1.5826530949749888","1.5826530949749893","-5.7642220437713469e-18","-5.5658105080125453e-18","2.7484574639255195e-18"
"220.0","1.5116997248574875","1.5116997248574873","1.5116997248574875","-5.506028253641544e-18","-5.3172682293652498e-18","2.6233342167411084e-18"
"230.0","1.4467979843214758","1.4467979843214758","1.4467979843214758","-5.269825755099658e-18","-5.0898013027984598e-18","2.5091144705843481e-18"
"240.0","1.3872095374514579","1.3872095374514579","1.3872095374514579","-5.0529366378732496e-18","-4.8808582012061542e-18","2.4044317256157767e-18"
"250.0","1.332310851475744","1.332310851475744","1.332310851475744","-4.8530983069392518e-18","-4.6882802752113335e-18","2.3081387778268863e-18"
"260.0","1.2815718254977875","1.2815718254977873","1.2815718254977873","-4.6683864266106647e-18","-4.5102294895148587e-18","2.2192654074092567e-18"
"270.0","1.234539000190122","1.234539000190122","1.234539000190122","-4.497154311925832e-18","-4.3451314259085045e-18","2.1369855029835382e-18"
"280.0","1.1908222473485108","1.1908222473485108","1.1908222473485108","-4.3379848348393423e-18","-4.191629946558511e-18","2.0605912539638162e-18"
"290.0","1.1500841293792796","1.1500841293792796","1.1500841293792796","-4.1896519458496166e-18","-4.0485508453352786e-18","1.9894726990040959e-18"
"300.0","1.1120313264637032","1.1120313264637032","1.1120313264637032","-4.0510896509096887e-18","-3.914872487718734e-18","1.9231013766731999e-18"
"310.0","1.0764076789935824","1.0764076789935826","1.0764076789935826","-3.9213668182823804e-18","-3.789701929248193e-18","1.8610171491847515e-18"
"320.0","1.0429885021881773","1.0429885021881777","1.0429885021881773","-3.7996665810174294e-18","-3.6722553620398736e-18","1.8028175030524527e-18"
"330.0","1.0115759103705104","1.0115759103705109","1.0115759103705106","-3.6852693894563746e-18","-3.5618420054972389e-18","1.7481487998151349e-18"
"340.0","0.98199494833617285","0.98199494833617273","0.98199494833617285","-3.5775389833750675e-18","-3.4578507567754967e-18","1.6966990743008405e-18"
"350.0","0.95409037227038507","0.95409037227038496","0.95409037227038507","-3.4759107152017807e-18","-3.3597390670137194e-18","1.6481920701586576e-18"
"360.0","0.92772395676877806","0.92772395676877817","0.92772395676877806","-3.3798817784625811e-18","-3.2670236237606046e-18","1.6023822715159099e-18"
"370.0","0.90277223055369726","0.90277223055369704","0.90277223055369704","-3.2890029893991254e-18","-3.1792725076900014e-18","1.5590507418861823e-18"
"380.0","0.87912456350974921","0.8791245635097491","0.87912456350974921","-3.2028718419336589e-18","-3.0960985593700338e-18","1.5180016213104025e-18"
"390.0","0.8566815431864967","0.85668154318649659","0.85668154318649681","-3.1211266121765893e-18","-3.0171537444392107e-18","1.479059163349499e-18"
"400.0","0.83535359102964235","0.83535359102964246","0.83535359102964235","-3.0434413324161335e-18","-2.942124346683774e-18","1.4420652172740068e-18"
"410.0","0.81505977811588459","0.81505977811588481","0.81505977811588459","-2.9695214889074614e-18","-2.8707268508967821e-18","1.4068770793029325e-18"
"420.0","0.79572680768490567","0.79572680768490556","0.79572680768490556","-2.899100324961827e-18","-2.8027044030464358e-18","1.3733656512766499e-18"
"430.0","0.77728813773850491","0.77728813773850469","0.77728813773850491","-2.8319356524553925e-18","-2.7378237557074473e-18","1.3414138566333121e-18"
"440.0","0.75968322175431302","0.75968322175431302","0.75968322175431302","-2.7678070921675072e-18","-2.6758726230656852e-18","1.3109152726891694e-18"
"450.0","0.74285684940104968","0.74285684940104968","0.74285684940104968","-2.7065136772592904e-18","-2.6166573829724732e-18","1.2817729455242402e-18"
"460.0","0.72675857224362217","0.72675857224362217","0.72675857224362217","-2.6478717654365195e-18","-2.5600010741754016e-18","1.25389835964525e-18"
"470.0","0.71134220194384756","0.71134220194384756","0.71134220194384756","-2.5917132144617738e-18","-2.5057416455091505e-18","1.2272105393416342e-18"
"480.0","0.69656537051544087","0.69656537051544065","0.69656537051544087","-2.5378837831215554e-18","-2.4537304208980886e-18","1.2016352625036988e-18"
"490.0","0.68238914387360727","0.6823891438736075","0.68238914387360705","-2.4862417258503672e-18","-2.403830749818573e-18","1.1771043708162189e-18"
"500.0","0.66877768130286552","0.66877768130286541","0.66877768130286552","-2.4366565542305195e-18","-2.3559168176424605e-18","1.1535551628182775e-18"
"510.0","0.65569793460945802","0.65569793460945791","0.65569793460945791","-2.3890079427309887e-18","-2.3098725942297162e-18","1.1309298584420075e-18"
"520.0","0.6431193816722105","0.64311938167221061","0.6431193816722105","-2.3431847594865517e-18","-2.2655909024140124e-18","1.1091751253971029e-18"
"530.0","0.63101378989448487","0.63101378989448498","0.63101378989448487","-2.2990842057805248e-18","-2.2229725907540834e-18","1.0882416592237518e-18"
"540.0","0.61935500571874047","0.61935500571874047","0.61935500571874047","-2.256611050286044e-18","-2.1819257972053511e-18","1.0680838100496563e-18"
"550.0","0.60811876691764333","0.60811876691764333","0.60811876691764333","-2.2156769461259903e-18","-2.1423652922804318e-18","1.0486592501008316e-18"
"560.0","0.59728253484025684","0.59728253484025673","0.59728253484025662","-2.1761998204987532e-18","-2.104211891878433e-18","1.0299286768669875e-18"
"570.0","0.58682534418396437","0.58682534418396426","0.58682534418396437","-2.1381033280406336e-18","-2.0673919313233665e-18","1.0118555475386815e-18"
"580.0","0.57672766819464161","0.57672766819464161","0.57672766819464172","-2.1013163603013027e-18","-2.0318367933045244e-18","9.9440584093853543e-19"
"590.0","0.56697129747939878","0.56697129747939889","0.56697129747939878","-2.0657726047321098e-18","-1.9974824833904046e-18","9.775478436816887e-19"
"600.0","0.55753923085615487","0.55753923085615487","0.55753923085615487","-2.0314101474587695e-18","-1.9642692476220701e-18","9.6125195773625871e-19"
"610.0","0.54841557686918097","0.54841557686918119","0.54841557686918119","-1.9981711148544248e-18","-1.9321412274041038e-18","9.4549052692602645e-19"
"620.0","0.5395854647751791","0.53958546477517921","0.5395854647751791","-1.9660013495663237e-18","-1.9010461475218842e-18","9.302376802350156e-19"
"630.0","0.53103496395503513","0.53103496395503491","0.53103496395503491","-1.9348501171967862e-18","-1.8709350336379731e-18","9.1546919004560174e-19"
"640.0","0.52275101083598707","0.52275101083598707","0.52275101083598707","-1.9046698403099147e-18","-1.8417619560717244e-18","9.0116234367558121e-19"
"650.0","0.51472134252074841","0.51472134252074841","0.51472134252074841","-1.8754158568420908e-18","-1.8134837970558159e-18","8.8729582678093685e-19"
"660.0","0.50693443641680069","0.50693443641680069","0.50693443641680069","-1.8470462003455698e-18","-1.7860600390002362e-18","8.7384961736493709e-19"
"670.0","0.4993794552428662","0.49937945524286614","0.4993794552428662","-1.8195213997991737e-18","-1.7594525715865563e-18","8.6080488928468442e-19"
"680.0","0.49204619686238099","0.49204619686238099","0.49204619686238105","-1.7928042969847763e-18","-1.7336255157690686e-18","8.4814392427674475e-19"
"690.0","0.48492504845712103","0.48492504845712109","0.48492504845712103","-1.7668598796585841e-18","-1.7085450629805554e-18","8.3585003163708938e-19"
"700.0","0.47800694460943843","0.47800694460943838","0.47800694460943838","-1.7416551289472842e-18","-1.6841793280333155e-18","8.2390747478939927e-19"
"710.0","0.47128332890989066","0.47128332890989066","0.47128332890989072","-1.7171588795748363e-18","-1.6604982143748122e-18","8.1230140406219485e-19"
"720.0","0.46474611874933131","0.46474611874933131","0.46474611874933131","-1.6933416916795654e-18","-1.6374732905050459e-18","8.0101779507079111e-19"
"730.0","0.45838767299171568","0.45838767299171568","0.45838767299171568","-1.6701757331163289e-18","-1.6150776764925621e-18","7.9004339216631544e-19"
"740.0","0.45220076225649469","0.45220076225649464","0.45220076225649469","-1.6476346712572412e-18","-1.5932859396399913e-18","7.7936565647220795e-19"
"750.0","0.44617854156823405","0.44617854156823405","0.44617854156823394","-1.625693573409093e-18","-1.5720739984506079e-18","7.6897271807979197e-19"
"760.0","0.44031452515647523","0.44031452515647534","0.44031452515647534","-1.6043288150578398e-18","-1.5514190341360294e-18","7.5885333201964582e-19"
"770.0","0.43460256321127971","0.43460256321127977","0.43460256321127977","-1.5835179952321291e-18","-1.5312994089836095e-18","7.4899683766533766e-19"
"780.0","0.42903682041973057","0.4290368204197304","0.42903682041973057","-1.5632398583501004e-18","-1.5116945909715284e-18","7.3939312126134481e-19"
"790.0","0.42361175612630708","0.42361175612630714","0.42361175612630708","-1.543474221977644e-18","-1.4925850840810957e-18","7.3003258129817303e-19"
"800.0","0.4183221059756343","0.41832210597563424","0.4183221059756343","-1.5242019099832721e-18","-1.47395236381055e-18","7.2090609648543751e-19"
"810.0","0.41316286491005721","0.41316286491005721","0.41316286491005727","-1.505404690625288e-18","-1.4557788174432746e-18","7.1200499609830245e-19"
"820.0","0.40812927140685284","0.40812927140685279","0.40812927140685284","-1.4870652191520563e-18","-1.4380476886666632e-18","7.033210324945376e-19"
"830.0","0.40321679285095435","0.40321679285095424","0.40321679285095435","-1.4691669845363479e-18","-1.42074302617665e-18","6.9484635561909122e-19"
"840.0","0.3984211119489226","0.3984211119489226","0.3984211119489226","-1.4516942600006912e-18","-1.4038496359373783e-18","6.8657348933045606e-19"
"850.0","0.39373811409875725","0.39373811409875731","0.3937381140987572","-1.4346320570228032e-18","-1.3873530367965096e-18","6.7849530939873237e-19"
"860.0","0.38916387563802557","0.38916387563802557","0.38916387563802557","-1.4179660825389349e-18","-1.3712394191843066e-18","6.706050230392866e-19"
"870.0","0.38469465289989752","0.38469465289989757","0.38469465289989752","-1.4016826990888269e-18","-1.3554956066495654e-18","6.6289614985836184e-19"
"880.0","0.38032687201305598","0.38032687201305593","0.38032687201305598","-1.385768887669172e-18","-1.3401090200077154e-18","6.5536250409832269e-19"
"890.0","0.3760571193871789","0.37605711938717895","0.3760571193871789","-1.3702122130833492e-18","-1.325067643896612e-18","6.47998178080248e-19"
"900.0","0.37188213283084037","0.37188213283084037","0.37188213283084037","-1.3550007915939228e-18","-1.3103599955534999e-18","6.4079752675072412e-19"
"910.0","0.36779879325336123","0.36779879325336123","0.36779879325336123","-1.3401232607014714e-18","-1.2959750956430798e-18","6.3375515324785475e-19"
"920.0","0.36380411690631026","0.36380411690631026","0.36380411690631026","-1.3255687508884551e-18","-1.2819024409812131e-18","6.2686589540891872e-19"
"930.0","0.35989524812417312","0.35989524812417317","0.35989524812417312","-1.3113268591807268e-18","-1.2681319790121975e-18","6.2012481314878821e-19"
"940.0","0.35606945252712519","0.35606945252712502","0.35606945252712507","-1.2973876243918019e-18","-1.2546540839095228e-18","6.135271766442003e-19"
"950.0","0.35232411065197444","0.35232411065197439","0.35232411065197444","-1.2837415039262591e-18","-1.2414595341809654e-18","6.0706845526452246e-19"
"960.0","0.34865671198013171","0.34865671198013171","0.34865671198013171","-1.270379352028961e-18","-1.2285394916687235e-18","6.0074430719455502e-19"
"970.0","0.34506484933405129","0.34506484933405124","0.34506484933405129","-1.2572923993760815e-18","-1.2158854818443375e-18","5.9455056969938706e-19"
"980.0","0.34154621361589632","0.34154621361589638","0.34154621361589632","-1.2444722339123771e-18","-1.2034893753061918e-18","5.8848324998546075e-19"
"990.0","0.33809858886429028","0.33809858886429028","0.33809858886429028","-1.2319107828468491e-18","-1.1913433703949185e-18","5.8253851661565925e-19"
"1000.0","0.33471984760696299","0.33471984760696299","0.33471984760696299","-1.2196002957259381e-18","-1.1794399768487027e-18","5.7671269143963265e-19"
